no,image_category,website_section,image_file_name,google_drive_link,purpose,alt_text,recommended_use,status,notes
Home,Hero Campus Image,Home Hero,Main homepage image,animetro-hero-campus-golden-hour.png,Main homepage image,,,,
Home,Consultation Image,Home Hero / About,Family consulting scene,animetro-consultation-family-emily.png,Family consulting scene,,,,
Home,Student Admission Image,Success Stories,University admission visual,animetro-admitted-student-campus.png,University admission visual,,,,
Home,,,,,,,,,
Home,Private School Admission Image,Services,Private school admission visual,TBD (another girls with admission or campus image),Private school admission visual,,,,
Home,Boarding School Image,Services / Events,Boarding school pathway visual,TBD (maybe SSM gate),Boarding school pathway visual,,,,
Home,Logo,Header / Footer,Brand logo,01_Master Logo.png,Brand logo,,,,
Home,Favicon,Browser tab,Website favicon,animetro-favicon-logo-2026.png,Website favicon,,,,
Home,Our services,,,,,,,,
Home,Education Strategy,Home / Education Strategy,animetro-education-strategy-consulting.png,animetro-education-strategy-consulting.png,Visual for education strategy consulting section,Family and student meeting with education consultant for strategic academic planning,Home page Education Strategy section,Approved,
Home,Homepage / Services Intro,Home - Services Overview,guidiance.jpeg,https://drive.google.com/file/d/1sbPAHvaBfIG9kYCfGFd28OyE_J2UJzsR/view?usp=drivesdk,Use if this block needs an image,Do not replace existing live image,Filename is spelled as uploaded in Drive.,,
Home,Homepage / Strategic Mentoring,Home - Consultation or Strategic Planning Block,strategeticmentoring.jpeg,https://drive.google.com/file/d/1BdxVmdtaoCrvbuR1GlnNDS7rvqUyiCGA/view?usp=drivesdk,Optional / backup,Do not replace existing live image,Best if a separate mentoring/consultation image is needed.,,
Services,Services > Education Strategy,Education Strategy,educationstratgyconsulting.jpeg,https://drive.google.com/file/d/18X54vJxSitPrS-3pSnFWS_aLXUS1YLJS/view?usp=drivesdk,Apply to service page or block,Do not replace existing live image,Filename is spelled as uploaded in Drive.,,
Services,Services > Prep School Admissions,Prep School Admissions,prepschooladmissionconsulting.jpeg,https://drive.google.com/file/d/1r6B6IlWx27tZNnv8KVrGq3SeQWJ2hCIQ/view?usp=drivesdk,Apply to service page or block,Do not replace existing live image,Direct match for prep school admissions.,,
Services,Services > School Visit and Interview,School Visit & Interview Preparation,interviewprep.jpeg,https://drive.google.com/file/d/1-QkarKeOz98dCNA5h_XsRv8c4AFyn_KN/view?usp=drivesdk,Apply to service page or block,Do not replace existing live image,Best match for school visits and interview preparation.,,
Services,Services > University Admissions,University Admissions,admissionconsulting.jpeg,https://drive.google.com/file/d/1iMG8QGfimdnOB7OS5mLnvGtb4_iM464d/view?usp=drivesdk,Apply to service page or block,Do not replace existing live image,Use for university admissions/admission consulting.,,
Services,Services > GPA Management,GPA Management / Academic Skills,gpamanagement.jpeg,https://drive.google.com/file/d/18e5sE_ozdIK9TdwIDqaGQqiNmA5jbTbe/view?usp=drivesdk,Apply to service page or block,Do not replace existing live image,Preferred lowercase current update.,,
Services,Services > Tutoring,Tutoring,tutoring.jpeg,https://drive.google.com/file/d/1GUZg12jOpvp-6uONq3MKvP69LLa7bZSO/view?usp=drivesdk,Apply to service page or block,Do not replace existing live image,Newest updated tutoring file found in root folder.,,
Services,Services > Tutoring,Academic Tutoring,academic tutoring.jpeg,https://drive.google.com/file/d/1IfmGSesYHajjriT5DOom_iEjuTN7lAJ2/view?usp=drivesdk,Use only if separate from Tutoring,Do not replace existing live image,Keep separate only if the website has a distinct Academic Tutoring section.,,
Services,Services > STEAM Pathway,STEAM Pathway / Enrichment,enrichment.jpeg,Stemactivity .jpeg,Apply to service page or block,Do not replace existing live image,Better updated name than older STEM filename.,,
Services,Services > Student Athlete Planning,Student Athlete Planning,atheltesupport.jpeg,https://drive.google.com/file/d/1cy1LRjz3OrXyAYaUS9pverHOmdocUBdc/view?usp=drivesdk,Apply to service page or block,Do not replace existing live image,Filename is spelled as uploaded in Drive.,,
Services,Services > Student Athlete Planning,Athlete Recruitment,atheleterecruit.jpeg,https://drive.google.com/file/d/1039asi6EcBtzzhxul4hoGHgObcLwmCFG/view?usp=drivesdk,Use for recruitment-specific block,Do not replace existing live image,Older but still direct match for athlete recruitment.,,
Services,Services > Gifted Neurodiversity Support,Gifted Support,giftedsupport.jpeg,https://drive.google.com/file/d/1MpRBCLXcKkaN5yNPVSZ7CNTF7E4LR9Ei/view?usp=drivesdk,Apply if gifted support is a separate block,Do not replace existing live image,Use this when Gifted support is separated from Neurodiversity support.,,
Services,Services > Gifted Neurodiversity Support,Neurodiversity Support,neurodiversitysupport.jpeg,https://drive.google.com/file/d/1dppJTQgBo4iJ_j0hbe8WTt3HleR5RH-A/view?usp=drivesdk,Apply to service page or block,Do not replace existing live image,Best updated match for neurodiversity support.,,
Services,Services > Mental Health Support,Mental Health Support,mentalhealthsupport.jpeg,https://drive.google.com/file/d/1hB90xZcyEcq8D8AHUGVGyvE41UnzYn2c/view?usp=drivesdk,Apply if website has this section,Do not replace existing live image,Use newer duplicate by modified time.,,
Services,Services > Guardianship Student Care,Guardianship / Student Care,gardianship.jpeg,https://drive.google.com/file/d/1wuZ12KQqo7MKhfSMcWocdWx_MHCh79DW/view?usp=drivesdk,Apply to service page or block,Do not replace existing live image,Filename is misspelled in Drive; link is stable.,,
About,Team and About,About - Founder,emily-founder-portrait.png,https://drive.google.com/file/d/1COzO2We9DD50IFW_sQZyoZefyaGtg5yR/view?usp=drivesdk,Keep / apply to About,Do not replace existing live image,Founder portrait.,,
About,Team and About,Team - Dr. Leonard Li,dr-leonard-li-advisor-portrait.png,https://drive.google.com/file/d/1b1_qr8Lrth8kvd_a8UUyvwiFoAN_OHmV/view?usp=drivesdk,Keep / apply to About,Do not replace existing live image,Advisor portrait.,,
About,Team and About,Team - Lloyd Advisor,lloyd-advisor-portrait.png,https://drive.google.com/file/d/1ak4bIGv8F7RUwnvHEVtke85XzEowOmVU/view?usp=drivesdk,Keep / apply to About,Do not replace existing live image,Advisor portrait.,,
About,Team and About,Team - Prof. David Advisor,prof-david-advisor-portrait.png,https://drive.google.com/file/d/14JWDmYxBXyF9sE3ssqsALIsxgsgHYwoi/view?usp=drivesdk,Keep / apply to About,Do not replace existing live image,Advisor portrait.,,
About,Team and About,Team - Frances,frances-team-portrait.png,https://drive.google.com/file/d/1zuxHGGco0BKVeKd83ZqVd3pnxwdiD__r/view?usp=drivesdk,Keep / apply to About,Do not replace existing live image,Team portrait.,,
About,Team and About,Arts / Creative Guidance - Brooke,brooke-art-director-portrait.png,https://drive.google.com/file/d/1hs3GdbSpAvqOvA4P6Nl7mYHRpwO8FqL2/view?usp=drivesdk,Keep / apply to About or Arts block,Do not replace existing live image,"Best for arts, portfolio, or creative pathway support.",,
Events/Resources,Resources and Events > Events and Workshops,Events / Workshops,workshop.jpeg,Animetroworkshop.jpeg,Apply to Events page,Do not replace existing live image,Newest event/workshop-style filename found.,,
Events/Resources,Resources and Events > Events and Workshops,Event Workshop Backup,eventworkshop.jpeg,https://drive.google.com/file/d/1p4Iky9F7skktLANrDLGIsp3DMqfyWnP1/view?usp=drivesdk,Optional / backup,Do not replace existing live image,Use if a second events/workshops image is needed.,,
Events/Resources,Resources and Events > Testing Resources,Testing Resources,testprep.jpeg,https://drive.google.com/file/d/1yrF1JEo3qywweeHZr0hmWafIRBQ5WYTZ/view?usp=drivesdk,Apply to resources page/block,Do not replace existing live image,Best match for test prep/testing resources.,,
Events/Resources,Resources and Events > Prep School Resources,Admissions Resources,admissionresources.jpeg,https://drive.google.com/file/d/1egDDYDzrDgiL9roCUlCR7FpY7n5UkvLp/view?usp=drivesdk,Apply to resources page/block,Do not replace existing live image,Use for admissions resource content.,,
Events/Resources,Resources and Events > Prep School Resources,Admissions Resources Backup,admissionrescources.jpeg,https://drive.google.com/file/d/11cLoGP6rgnR8v5LdpiHsiIuuvi9PpnD-/view?usp=drivesdk,Optional / backup,Do not replace existing live image,Filename is misspelled in Drive.,,
Events/Resources,Resources and Events > Testing Resources,SAT,SAT.jpeg,SAT.jpeg,Apply only to SAT-specific content,Do not replace existing live image,Use only if SAT has its own block/page.,,
Contact,Contact and QR Codes,Contact - WeChat QR,wechat-qr.jpg,wechat-qr.jpg,Keep / apply to Contact,Do not replace existing live image,QR code asset.,,
Contact,Contact and QR Codes,Contact - WhatsApp QR,whatsapp-qr.jpg,whatsapp-qr.jpg,Keep / apply to Contact,Do not replace existing live image,QR code asset.,,
